
TABLE_NAME                                                                                                                              COUNT                                                           
-------------------------------------------------------------------------------------------------------------------------------- ------------                                                           
ABPP_RELEASE                                                                                                                                1                                                           
ACTION_ITEMS                                                                                                                                0                                                           
ACTION_ITEM_NOTIFY_USERS                                                                                                                    0                                                           
ADDRESS                                                                                                                                     4                                                           
AIF_ADAPTER_ERROR_LOG                                                                                                                       0                                                           
AIF_LAST_SYNC_UP                                                                                                                            0                                                           
APPR_CAL_MAP                                                                                                                                0                                                           
APPR_MEMBER_RELATIONSHIP                                                                                                                    0                                                           
APPR_ROLE_HIERARCHY                                                                                                                         0                                                           
ARCH_CONSUMPTION_PLAN                                                                                                                       0                                                           
ARCH_CONSUMPTION_PLAN_LOT                                                                                                                   0                                                           
ARCH_CONS_PLAN_LOT_PROPERTY                                                                                                                 0                                                           
ARCH_CO_BO_LINE_MAP                                                                                                                         0                                                           
ARCH_CUSTOMER_ORDER                                                                                                                         0                                                           
ARCH_ORDER_LINE_ITEM                                                                                                                        0                                                           
ARCH_ORDER_LINE_PROPERTY                                                                                                                    0                                                           
ARCH_ORDER_SCHEDULE                                                                                                                         0                                                           
ATTRIBUTE_MASTER                                                                                                                            0                                                           
BCM_CONSTRAINT_EXCEPTIONS                                                                                                                   0                                                           
BOOKMARK                                                                                                                                    0                                                           
CODE_MST_TYPE                                                                                                                             257                                                           
CODE_MST_VAL                                                                                                                            1,403                                                           
COMMENTS                                                                                                                                    0                                                           
COMMENT_PROCESS_MAP                                                                                                                         0                                                           
COMPLEX_RUL_ENT_DETAIL                                                                                                                      0                                                           
COMPLEX_RUL_TMP                                                                                                                             0                                                           
COMPONENT_CONFIG                                                                                                                            0                                                           
COMPONENT_PROP_CONFIG                                                                                                                       0                                                           
CONFIGURE_TABLE                                                                                                                             0                                                           
CONSUMPTION_PLAN                                                                                                                            0                                                           
CONSUMPTION_PLAN_LOT                                                                                                                        0                                                           
CONS_PLAN_LOT_PROPERTY                                                                                                                      0                                                           
CONTACT                                                                                                                                     2                                                           
CO_BO_LINE_MAP                                                                                                                              0                                                           
CRYPTION_KEY                                                                                                                                1                                                           
CURRENCY_CONVERSION                                                                                                                         0                                                           
CUSTOMER_ORDER                                                                                                                              0                                                           
DAILY_ACTIVITY                                                                                                                              0                                                           
DATA_TBL_COL_MAP                                                                                                                          167                                                           
DATA_TEMPLATE                                                                                                                               8                                                           
DATA_TEMPLATE_MASTER_LIST                                                                                                                   0                                                           
DATA_TEMPLATE_SEG                                                                                                                           0                                                           
DB_JOB_LOG                                                                                                                                  0                                                           
DEAD_LETTER                                                                                                                                 0                                                           
DFADMIN_API_LOG                                                                                                                             0                                                           
DFADMIN_API_LOG_CONFIG                                                                                                                     24                                                           
DFADMIN_ENGINECONFIG                                                                                                                        0                                                           
DFADMIN_ENGINEPROPERTIES                                                                                                                    0                                                           
DFADMIN_ENGINE_STATE_ACTIONS                                                                                                               56                                                           
DFADMIN_ERRORS                                                                                                                            618                                                           
DFADMIN_FILTERS                                                                                                                             0                                                           
DFADMIN_MASTEROPTIONS                                                                                                                      84                                                           
DFADMIN_ROLE_SOLN_MAP                                                                                                                       0                                                           
DFADMIN_RPT_AGGREGATION_CFG                                                                                                                 0                                                           
DFADMIN_RR_STRATEGY                                                                                                                         0                                                           
DFADMIN_RR_STRATEGY_STEP                                                                                                                    0                                                           
DFADMIN_SOLUTIONCONFIG                                                                                                                      0                                                           
DFADMIN_SOLUTIONOPTIONS                                                                                                                   280                                                           
DFXHA_ATPALLOC_CHANGE                                                                                                                       0                                                           
DFXHA_CATCHUP_FILTER                                                                                                                        0                                                           
DFXHA_CATCHUP_QUEUE                                                                                                                         0                                                           
DFXHA_CYCLE_STATE_RULE                                                                                                                     32                                                           
DFXHA_CYCLE_STATUS                                                                                                                          0                                                           
DFXHA_CYCLE_STATUS_AT                                                                                                                       0                                                           
DFXHA_ENGINE_STATUS                                                                                                                         0                                                           
DFXHA_ENGINE_STATUS_AT                                                                                                                      0                                                           
DFXHA_NEW_CYCLE_BO_LINE                                                                                                                     0                                                           
DFXHA_NEW_CYCLE_CONSPLAN                                                                                                                    0                                                           
DFXHA_NEW_CYCLE_CONSPLAN_LOT                                                                                                                0                                                           
DFXHA_NEW_CYCLE_CONSPLAN_LOT_P                                                                                                              0                                                           
DFXHA_NEW_CYCLE_CO_BO_LINE_MAP                                                                                                              0                                                           
DFXHA_NEW_CYCLE_CUSTOMER_ORDER                                                                                                              0                                                           
DFXHA_NEW_CYCLE_ORDER_LINE                                                                                                                  0                                                           
DFXHA_NEW_CYCLE_ORDER_SCHEDULE                                                                                                              0                                                           
DFXHA_NEW_CYCLE_PRODUCEDLOTS                                                                                                                0                                                           
DFXHA_ORDER_EXT_SCHEDULE                                                                                                                    0                                                           
DFXHA_TRANSACTION_HEADER                                                                                                                    0                                                           
DFX_FILTER_TABLE                                                                                                                            0                                                           
DFX_PLAN_MASTER                                                                                                                             0                                                           
DIMENSION_MASTER                                                                                                                            0                                                           
DIMENSION_MEMBER_RELATIONSHIP                                                                                                               0                                                           
DIST_JOB                                                                                                                                    0                                                           
DIST_PARTITION                                                                                                                              0                                                           
DOMAIN_TYPE                                                                                                                                 0                                                           
DTA_RUL_TMP                                                                                                                                 0                                                           
EMAIL                                                                                                                                       0                                                           
EMAIL_HISTORY                                                                                                                               0                                                           
ENTITY_LAYOUT_MAP                                                                                                                           0                                                           
ENTITY_MSGING                                                                                                                               4                                                           
ENTY_DLVRY_MAP                                                                                                                              5                                                           
EPIVOT_CONFIGURE                                                                                                                            0                                                           
ERROR_SUMMARY                                                                                                                               0                                                           
ERR_DIMENSION_MEMBER_RTNSHIP                                                                                                                0                                                           
ERR_MD_CUBE_AT_LEAF_LEVEL                                                                                                                   0                                                           
ERR_MD_CUBE_PEGGING                                                                                                                         0                                                           
ERR_MD_CUBE_SOURCE                                                                                                                          0                                                           
ERR_PLC_MASTER                                                                                                                              0                                                           
ERR_SOURCE_MASTER                                                                                                                           0                                                           
ERR_SOURCE_MEMBER_RELATIONSHIP                                                                                                              0                                                           
ERR_TIME_MASTER                                                                                                                             0                                                           
EVENT_LOG                                                                                                                                   0                                                           
EXCEPTIONS                                                                                                                                  0                                                           
EXCEPTION_ACTION_ITEM_MAP                                                                                                                   0                                                           
EXCEPTION_DETAILS                                                                                                                           0                                                           
EXCEPTION_DET_RESOLUTION_MAP                                                                                                                0                                                           
EXCEPTION_RESOLUTION_MAP                                                                                                                    0                                                           
EXP_LOG                                                                                                                                     0                                                           
