
TABLE_NAME                                                                                                                              COUNT                                                           
-------------------------------------------------------------------------------------------------------------------------------- ------------                                                           
AGGSKUPROJSTATIC                                                                                                                            0                                                           
ALLEXCEPTION_GLBL_TEMP                                                                                                                      0                                                           
ALLOCAGGFCST                                                                                                                                0                                                           
ALLOCAGGHIST                                                                                                                                0                                                           
ALLOCCALPROFILE                                                                                                                             1                                                           
ALLOCCALPROFILEDATA                                                                                                                         0                                                           
ALLOCDATACOLLECTIONS                                                                                                                        0                                                           
ALLOCEXCEPTIONMASTER                                                                                                                       45                                                           
ALLOCITEMGENSEL                                                                                                                             0                                                           
ALLOCITEMHIERSEL                                                                                                                            0                                                           
ALLOCLIKEITEM                                                                                                                               0                                                           
ALLOCMASTER                                                                                                                                 0                                                           
ALLOCNEEDVARDEPENDENCIES                                                                                                                    0                                                           
ALLOCNEEDVARMASTER                                                                                                                          0                                                           
ALLOCPARAMPROFILE                                                                                                                           1                                                           
ALLOCPROFILECATEGORY                                                                                                                        0                                                           
ALLOCPROFILELIB                                                                                                                             0                                                           
ALLOCSET                                                                                                                                    0                                                           
ALLOCSTOREGRPSEL                                                                                                                            0                                                           
ALLOCSTORESEL                                                                                                                               0                                                           
ALLOCSTRAT                                                                                                                                  0                                                           
AUDITLOG                                                                                                                                    0                                                           
BOM_PCA_GLBTMP                                                                                                                              0                                                           
BOM_TEMP                                                                                                                                    0                                                           
BOOKINGGROUP                                                                                                                                1                                                           
BOOKINGGROUPCURVE                                                                                                                           0                                                           
CAL                                                                                                                                        10                                                           
CALCSEASONERRTMP                                                                                                                            0                                                           
CALDATA                                                                                                                                    94                                                           
CALDATAEXPANDED                                                                                                                             0                                                           
CALDATASTATIC                                                                                                                               0                                                           
CALINTERVAL                                                                                                                                 0                                                           
CALPATTERN                                                                                                                                  0                                                           
CAMPAIGNBUCKETWGT                                                                                                                           5                                                           
CARSIMULATIONPROPERTIES                                                                                                                     0                                                           
CATEGORYOBJECTIVEASSOC                                                                                                                     66                                                           
CAUSALFACTORTYPE                                                                                                                            0                                                           
CBMPDISTSTAT                                                                                                                                0                                                           
CBMPOPTS                                                                                                                                    0                                                           
CHARTESTVAL                                                                                                                                 1                                                           
CLIPPINGFACTORCURVE                                                                                                                         1                                                           
CLIPPINGFACTORCURVEDATA                                                                                                                     0                                                           
COLLECTION_INFO                                                                                                                             0                                                           
COMMITDEMANDS                                                                                                                               0                                                           
COMPETITORINFO                                                                                                                              0                                                           
COMPUTATION                                                                                                                                 0                                                           
COMPUTATIONSCALARVAR                                                                                                                        0                                                           
CONSTRAINTCATEGORY                                                                                                                         18                                                           
CONVCOL                                                                                                                                     0                                                           
COSTCATEGORY                                                                                                                                8                                                           
COSTTIERCATEGORY                                                                                                                            4                                                           
CPPSTRAT                                                                                                                                    0                                                           
CPPTIEBREAKER                                                                                                                               1                                                           
CPPTIEBREAKERRULE                                                                                                                           0                                                           
CPP_CACHE_DETAILS                                                                                                                           0                                                           
CPP_DEPDMDSTATIC                                                                                                                            0                                                           
CPP_RESEXCEPTION                                                                                                                            0                                                           
CPP_SKU                                                                                                                                     0                                                           
CSLTEMPLATE                                                                                                                                 0                                                           
CSLTEMPLATEDATA                                                                                                                             0                                                           
CSMSCPOUDC                                                                                                                                  0                                                           
CURRENCY                                                                                                                                    1                                                           
CURRENCYPROFILE                                                                                                                             0                                                           
CURRENCYPROFILEVAL                                                                                                                          0                                                           
CUST                                                                                                                                        1                                                           
CUSTADDR                                                                                                                                    0                                                           
CUSTORDERHEADER                                                                                                                             1                                                           
CUSTPROFILE                                                                                                                                 0                                                           
DASHBOARDHIERARCHYNODE                                                                                                                      0                                                           
DASHBOARDHIERNODELEVEL                                                                                                                      0                                                           
DASHBOARDWIDGET                                                                                                                            21                                                           
DASHBOARDWIDGETGROUPBY                                                                                                                      0                                                           
DASHBOARD_GLBL_TEMP                                                                                                                         0                                                           
DC_DFUCLASSHIST                                                                                                                             0                                                           
DC_STEERINGPARAM                                                                                                                            3                                                           
DDRPARAMPROFILE                                                                                                                             1                                                           
DECTESTVAL                                                                                                                                  0                                                           
DESKTOP                                                                                                                                     0                                                           
DFUATTACHRATENORM                                                                                                                           0                                                           
DFUATTRIBGROUP                                                                                                                              1                                                           
EBOPTS                                                                                                                                      1                                                           
EXCEPTIONNAV_GLBL_TEMP                                                                                                                      0                                                           
EXPNAV_ENDSKUS_GLBTMP                                                                                                                       0                                                           
EXPNAV_SUMMRY_BY_SHIPDT_GLBTMP                                                                                                              0                                                           
GLBTMP_PROCESSDFU                                                                                                                           0                                                           
GLBTMP_PROCESSLANE                                                                                                                          0                                                           
GLBTMP_PROCESSRES                                                                                                                           0                                                           
GLBTMP_PROCESSSKU                                                                                                                           0                                                           
INVOPT_REVIEW_TARGET_GLBL_TEMP                                                                                                              0                                                           
ITEM_PCA_GLBTMP                                                                                                                             0                                                           
PREAGGREGATION_TEMP1                                                                                                                        0                                                           
PROCESSDRMTIMEPERIOD_GLBTMP                                                                                                                 0                                                           
PROCESSRES_EXPNAV_GLBTMP                                                                                                                    0                                                           
PROCESSSKU_EXPNAV_GLBTMP                                                                                                                    0                                                           
SF_CAL_GLBTMP                                                                                                                               0                                                           
SF_GLBTMP                                                                                                                                   0                                                           
SKUWHEREUSED_PCA_GLBTMP                                                                                                                     0                                                           
SKU_PCA_GLBTMP                                                                                                                              0                                                           
SOURCINGINFO_GLBTMP                                                                                                                         0                                                           
TEMPPROCESSSKU                                                                                                                              0                                                           
TMP_IOPROCESSSKU                                                                                                                            0                                                           
TMP_RIOPROCESSLANE                                                                                                                          0                                                           

102 rows selected.

