
TABLE_NAME                                                                                                                              COUNT                                                           
-------------------------------------------------------------------------------------------------------------------------------- ------------                                                           
CFD_VALIDATION_RULE                                                                                                                         0                                                           
CFD_VALIDATION_RULE_CRITERIA                                                                                                                0                                                           
CLUSTER_DATA                                                                                                                                0                                                           
CLUSTER_GROUP                                                                                                                               0                                                           
CLUSTER_GROUP_MAP                                                                                                                           0                                                           
CLUSTER_GROUP_MAP_TRANS                                                                                                                     0                                                           
CLUSTER_GROUP_TRANS                                                                                                                         0                                                           
CLUSTER_TYPE                                                                                                                                0                                                           
CLUSTER_TYPE_TRANS                                                                                                                          0                                                           
CSM_ACCESS_CONTROL                                                                                                                      2,902                                                           
CSM_ACCOUNT_STATUS                                                                                                                          3                                                           
CSM_ACCTSTAT_HIST                                                                                                                           0                                                           
CSM_APPLICATION                                                                                                                            23                                                           
CSM_ENTERPRISE                                                                                                                              1                                                           
CSM_ENTITY_APP                                                                                                                            266                                                           
CSM_ENTITY_INFO                                                                                                                           877                                                           
CSM_ENTITY_TABLE                                                                                                                           61                                                           
CSM_FEATURE_APP                                                                                                                           521                                                           
CSM_FEATURE_INFO                                                                                                                          490                                                           
CSM_FILTER                                                                                                                                  0                                                           
CSM_FILTER_CRITERIA                                                                                                                         0                                                           
CSM_PARTNERSHIP                                                                                                                             0                                                           
CSM_PDA_FILTER                                                                                                                              0                                                           
CSM_PREFERENCE                                                                                                                              0                                                           
CSM_PRTNSHP_APPLIC                                                                                                                          0                                                           
CSM_RESOURCE                                                                                                                            1,304                                                           
CSM_ROLE                                                                                                                                   22                                                           
CSM_ROLE_FILTER                                                                                                                             0                                                           
CSM_SCHEMA_LOG                                                                                                                             14                                                           
CSM_SESSION                                                                                                                                 0                                                           
CSM_SUBSCRIBER                                                                                                                              6                                                           
CSM_SUBSCRIPTION                                                                                                                           26                                                           
CSM_TABLE_APP                                                                                                                             607                                                           
CSM_UI_EXTENSION                                                                                                                            0                                                           
CSM_USER                                                                                                                                    3                                                           
CSM_USER_HIST                                                                                                                               0                                                           
CSM_USER_PASSWORD                                                                                                                           0                                                           
CSM_USER_ROLE                                                                                                                              31                                                           
DB_DASHBOARD_GADGET                                                                                                                         0                                                           
DB_DASHBOARD_GADGET_PROPERTY                                                                                                                0                                                           
DB_GADGET                                                                                                                                   3                                                           
DB_GADGET_PROPERTY                                                                                                                          0                                                           
DB_GADGET_TYPE                                                                                                                              3                                                           
DB_GADGET_TYPE_LISTING                                                                                                                      0                                                           
DB_PATCH_INFO_TABLE                                                                                                                         0                                                           
DB_PATCH_RLBK_TABLE                                                                                                                         0                                                           
DN_APPLICATION_SETTINGS                                                                                                                    10                                                           
DN_TARGET                                                                                                                                  80                                                           
DN_TARGET_REFERENCE                                                                                                                         0                                                           
DSP_BLOCK                                                                                                                                  23                                                           
DSP_BLOCK_ATTRIBUTE                                                                                                                         2                                                           
DSP_BLOCK_ATTRIBUTE_PROPERTY                                                                                                                2                                                           
DSP_BLOCK_MAIN                                                                                                                              1                                                           
DSP_BLOCK_PROPERTY                                                                                                                        110                                                           
DS_CHARTESTVAL                                                                                                                              0                                                           
DS_DECTESTVAL                                                                                                                               0                                                           
DS_FILT                                                                                                                                    22                                                           
DS_FILTTEST                                                                                                                                 8                                                           
DS_FILT_ACCESS                                                                                                                              0                                                           
